processid	sampleid	bin_uri	genus_name	lat	lon
JAGWI088-11	WI-JAG-088	BOLD:ABY9065	Euptoieta	18.2162	-66.4943
LEGI059-10	USNM ENT 00643563	BOLD:AAC5742	Euploea	-5.25	145.267
LOWA294-06	2005-LOWA-294	BOLD:AAA9406	Boloria	59.883	29.517
LOWA453-06	2005-LOWA-453	BOLD:AAE2574	Boloria	41.767	76.517
TRIHL893-22	IAvH-TRI-A1733	BOLD:AAB1242	Dione	3.05714	-75.3892
ACGIN156-11	11-SRNP-71135	BOLD:AAK7291	Melinaea	10.991	-85.3954
ACRJP813-15	BC-MNHNJP1155	BOLD:ACZ5295	Acraea	1.28217	32.3437
BBLPA065-10	10BBCLP-0065	BOLD:AAA6552	Speyeria	53.6658	-112.867
BLPAA39602-23	20-SRNP-30747	BOLD:AAC7208	Heliconius	10.9888	-85.4234
BPALB451-17	CCDB-23846 F11	BOLD:ACF1366	NA	-8.52272	-74.1142
CBPMY585-15	CBP0590	BOLD:ABY2739	Acraea	3.139	101.632
CNCBF743-14	CCDB-24272-G06	BOLD:AAA5114	Boloria	49.567	-78.1
EZSPN721-09	RVcoll.08-L110	BOLD:AAB2322	Argynnis	40.506	-0.296
FBLMU403-09	BC ZSM Lep 27053	BOLD:AAB2344	Fabriciana	49.0769	11.865
GBCAB7234-24	ON586740	BOLD:AAB2344	Fabriciana	57.6986	18.7243
GBCAB7260-24	ON586747	BOLD:AAB2344	Fabriciana	57.6986	18.7213
GBGL10004-12	HM051983	BOLD:ACB4678	Oleria	-8.52272	-74.1142
GBGL21703-19	MG210105	BOLD:AAC7543	Ceratinia	-1.56427	-78.463
GBGL21807-19	KP007693	BOLD:ABY8587	Danaus	1.1626	116.92
GBGL21844-19	MG210072	BOLD:AAA8568	Dircenna	-8.52272	-74.1142
GBGL26943-19	KY750072	BOLD:ADR5051	Pteronymia	8.43954	-80.1443
GBGL29135-19	LT795280	BOLD:AAA3397	Boloria	65.491	-145.403
GBGL9965-12	HM051944	BOLD:AAD3249	Oleria	-8.52272	-74.1142
GBLN2114-09	FJ468778	BOLD:ACF2560	Napeogenes	-17.11	-64.78
GBMIN22137-13	JF450950	BOLD:ACF0124	Mechanitis	-0.398	-76.1277
GBMIN70852-17	KR150522	BOLD:AAC5742	Euploea	-12.65	141.83
HBNK495-07	611NK-JB254	BOLD:AAA3398	Boloria	66.961	-136.227
LEATF453-14	TLMF Lep 13765	BOLD:ACS2433	Boloria	47.19	11.1
LNU2059-21	AVM1738	BOLD:AAA5115	Boloria	67.315	16.733
LYPIE781-09	MAL-02405	BOLD:AAC3838	Dione	20.829	-89.812
MHMYK7824-15	15-SRNP-70539	BOLD:AAA9566	Danaus	11.016	-85.3805
MHMYN2342-13	93-SRNP-3226	BOLD:AAD6393	Danaus	10.8376	-85.6187
OXB1288-15	Rvcoll_15-M151	BOLD:AAA9312	Brenthis	46.116	5.628
OXB1569-16	OXB-TGS-1287	BOLD:AAB5849	Boloria	44.7995	5.25968
PERPT5447-23	CBG-A01173-B06	BOLD:AAC7292	NA	-12.57	-70.072
SNA076-07	JCD30168	BOLD:ABZ4893	Speyeria	35.98	-118.59
ACRJP186-09	BC-MNHNJP0468	BOLD:AAC4394	Acraea	-16	35.6667
BKKP605-18	2TBH009	BOLD:AAI9595	Danaus	13.652	100.492
BLPAA38944-22	21-SRNP-35208	BOLD:AAA6396	NA	10.928	-85.467
BLPAA5829-17	16-SRNP-31321	BOLD:AAA7788	Hypoleria	11.0193	-85.41
BPAL3446-16	CCDB-25456 C02	BOLD:AAB6580	Brenthis	41.454	74.583
CBPMY421-15	CBP0426	BOLD:ABY2739	Acraea	3.193	101.628
EULEP2669-15	RVcoll.14-N753	BOLD:AAA9406	Boloria	47.85	6.61
GBGL18953-15	KP074781	BOLD:AAZ3773	Heliconius	-8.52272	-74.1142
GBGL21770-19	KP007559	BOLD:AAI9597	Danaus	15.5865	121.822
GBGL21919-19	KR150547	BOLD:AAC5742	Euploea	-18.72	146.3
GBGL28921-19	KY649579	BOLD:ADR2153	Actinote	2.225	-78.291
GBGL29002-19	MG735663	BOLD:AAA3397	Boloria	53.4679	27.9643
GBGL29038-19	LT795183	BOLD:AAA3397	Boloria	42.8204	25.2517
GBGL9710-12	HM051689	BOLD:ACE4521	Brevioleria	-8.52272	-74.1142
GBGL9736-12	HM051715	BOLD:AAD3233	Oleria	-8.52272	-74.1142
GBGL9810-12	HM051789	BOLD:AAD7650	Brevioleria	-8.52272	-74.1142
GBLN3733-14	JX573778	BOLD:ACQ3069	Greta	-4.69	-79.09
GBLN3752-14	JX573809	BOLD:ACQ7355	Patricia	-4.69	-79.09
GBLN3800-14	JX573758	BOLD:AAA8568	Dircenna	-6.45	-76.32
GBLN4475-14	KC435435	BOLD:ABZ7076	Heliconius	-8.52272	-74.1142
GBMNA43860-19	MK252945	BOLD:AAA3397	Boloria	68.3519	18.6746
GBMNC57156-20	MT559427	BOLD:AAB6623	Eueides	-10.9	-36.21
GBMNE59797-22	MZ026246	BOLD:AAB2344	Fabriciana	46.4632	13.4269
LEPPA839-13	MACN-Bar-Lep-ct 03788	BOLD:AAM2418	Dione	-27.5529	-58.6795
LEPRR091-08	RR-BOCH-NU007	BOLD:AAA2067	Boloria	60.3306	-97.2478
LYPAP660-09	MAL-02660	BOLD:AAB6669	Dryas	17.972	-89.358
LYPAP814-09	MAL-02814	BOLD:AAC2573	Heliconius	21.228	-88.923
TRIHL1163-22	IAvH-TRI-A2321	BOLD:AEW2549	Heterosais	3.06444	-75.3708
BLPAA7563-17	17-SRNP-26120	BOLD:AAB8261	Heliconius	10.839	-85.618
BOPM335-12	UMKL-JJW0335	BOLD:ACA4585	Vindula	3.085	102.114
GBGL21694-19	MG210106	BOLD:ABU8723	Callithomia	-1.56427	-78.463
GBGL21780-19	KP007579	BOLD:ABX5122	Danaus	0.15592	113.965
GBGL28986-19	MG735647	BOLD:AAA3397	Boloria	59.0394	98.6705
GBGL29678-19	KX300104	BOLD:AAW5482	Phalanta	19.9012	97.0889
GBGL8268-12	GU012542	BOLD:AAW5482	Phalanta	23.5863	81.173
