processid	sampleid	bin_uri	genus_name	lat	lon
NCCC671-11	BIOUG01773-F08	BOLD:ABV2768	Stenichneumon	44.349	-76.895
NOPRA1735-19	NHMO-ENT-293782	BOLD:ACE1067	Ectopius	59.518	11.34
NSMTP578-15	SMTP578	BOLD:ACX0837	Cratichneumon	67.23	23.187
NZHYM009-10	NZAC04030871	BOLD:AAH7294	Aucklandella	-41.933	172.668
ONTB12439-23	BIOUG91485-H05.ONT3	BOLD:AEC8119	Diacantharius	9.969	-83.449
OPPQO1057-17	BIOUG35574-B05	BOLD:ACE8616	NA	43.1129	-79.2738
OPPQS121-17	BIOUG35651-A06	BOLD:ACU9248	NA	43.1129	-79.2738
PLAAF015-18	BIOUG39659-H04	BOLD:ACG8381	Carinodes	10.763	-85.334
PLAAV144-18	BIOUG44732-B04	BOLD:ACG8300	ichneuMalaise01	10.763	-85.334
PLABB039-19	BIOUG48916-C01	BOLD:ADB4475	ichneuMalaise01	10.763	-85.334
PLABE2994-18	BIOUG44374-E10	BOLD:AAL1427	Diacantharius	10.763	-85.334
PLABI030-19	BIOUG49430-B04	BOLD:ADB5402	ichneuMalaise01	10.763	-85.334
PLAET003-21	BIOUG62345-E05	BOLD:ACG8317	Setanta	10.763	-85.334
PLECJ3003-20	BIOUG57956-F05	BOLD:ADA8392	ichneuMalaise01	10.763	-85.334
PLLBJ899-20	BIOUG52549-B12	BOLD:ADB0819	ichneuMalaise01	10.763	-85.334
PLZAO684-20	BIOUG56811-A12	BOLD:ADB4475	ichneuMalaise01	10.76	-85.334
SSPPA1823-15	BIOUG26272-F04	BOLD:AAW0429	NA	41.9641	-82.529
SSWLB5729-13	BIOUG05221-H03	BOLD:AAG7732	NA	49.081	-113.879
ABWYT26636-24	CBG-A28530-B06	BOLD:AAK3172	NA	60.6603	-134.892
ASGLE1081-10	ASGLE-1081	BOLD:AAH7274	NA	45.5102	-76.9768
BCHYM7021-15	BC ZSM HYM 23076	BOLD:AAN3058	Diphyus	47.925	8.999
BCHYM755-13	BC ZSM HYM 19850	BOLD:ACE1167	Amblyjoppa	48.139	11.58
CCHAR8092-19	CHARS00231-A03	BOLD:ADI9185	NA	69.219	-104.926
CNEID3254-12	BIOUG03741-C11	BOLD:AAD5318	Ichneumon	53.685	-112.86
CNGBI1440-14	BIOUG10524-G09	BOLD:AAG7641	NA	44.7418	-79.8501
CNKJM1862-14	BIOUG12415-E02	BOLD:AAH2179	NA	44.4066	-65.2455
CNPKJ2455-14	BIOUG11771-E06	BOLD:AAH1974	NA	48.601	-86.2893
CNROG126-13	BIOUG08628-F08	BOLD:ACK4257	NA	43.8223	-79.1897
